Variable,Male_Strength,Female_Strength,Difference
Anxiety,4.085,3.869,-0.216
Depression,4.015,4.163,0.148
Stress,3.623,4.04,0.417
SelfCompassion,3.482,3.82,0.338
SocialMediaAddiction,2.568,3.06,0.492
CyberVictimization,2.363,1.768,-0.595
SocialMediaTime,1.922,1.991,0.069
FamilySupport,1.683,2.122,0.439
Age,1.639,1.809,0.17
Guilt,1.554,1.514,-0.04
FriendSupport,1.149,1.52,0.371
Shame,1.069,0.78,-0.289
